author,date,hash,message
Alan Liu,2022-04-29 22:53:49,cebe3c45d76357d201c65bdbbf0dbe6e8a63bbdb,"Fix tf.raw_ops.StagePeek vulnerability with invalid `index`.

Check that input is actually a scalar before treating it as such.

PiperOrigin-RevId: 445524908"
Alan Liu,2022-04-29 22:42:36,3150642acbbe254e3c3c5d2232143fa591855ac9,"Fix tf.raw_ops.LoadAndRemapMatrix vulnerability with invalid `row_remapping`.

Check that `row_remapping` has the correct dims().

PiperOrigin-RevId: 445522800"
Antonio Sanchez,2022-04-29 22:22:06,0f0b080ecde4d3dfec158d6f60da34d5e31693c4,"Fix undefined behavior in QuantizedConv2D

Added more input validation and tests.  Prior to this, we could get
`nullptr` exceptions when attempting to access 0th elements of 0-sized
inputs, leading to security vulnerability bugs.

Also needed to modify `quantized_conv_ops_test.cc` for consistency.
Previously the CPU kernel did technically support passing tensors
of rank larger than 0 for min/max values.  However, the XLA kernels do not.

PiperOrigin-RevId: 445518507"
A. Unique TensorFlower,2022-04-29 19:37:50,4681624eece54ab1ed5db3af458fcbde547d2ed6,"Fix security vulnerability with SpaceToBatchNDOp.

PiperOrigin-RevId: 445481606"
Sagun Bajra,2022-04-29 18:37:15,d5d9c00b860d6b82f3ac98e33f941a9b44e14524,"Fix security vulnerability with SpaceToBatchNDOp.

PiperOrigin-RevId: 445468285"
Alan Liu,2022-04-29 16:47:37,30721cf564cb029d34535446d6a5a6357bebc8e7,"Fix tf.raw_ops.EditDistance vulnerability with negative indices.

Check that indices are non-negative. Fix several identical code sites.
Clean up grammar in error message.

PiperOrigin-RevId: 445442017"
Alan Liu,2022-04-28 20:08:57,cff267650c6a1b266e4b4500f69fbc49cdd773c5,"Fix tf.raw_ops.DeleteSessionTensor vulnerability with invalid `handle`.

Check that `handle` input is actually a scalar before treating it as such.

PiperOrigin-RevId: 445228994"
Alan Liu,2022-04-28 19:25:03,48305e8ffe5246d67570b64096a96f8e315a7281,"Fix tf.raw_ops.GetSessionTensor vulnerability with invalid handle.

Check that input is actually a scalar before treating it as such.

PiperOrigin-RevId: 445218701"
Alan Liu,2022-04-28 18:37:31,13d38a07ce9143e044aa737cfd7bb759d0e9b400,"Fix tf.raw_ops.UnsortedSegmentJoin vulnerability with invalid num_segments.

Check that input is actually a scalar before treating it as such.

PiperOrigin-RevId: 445206880"
Alan Liu,2022-04-28 18:06:02,098e7762d909bac47ce1dbabe6dfd06294cb9d58,"Fix tf.raw_ops.QuantizeAndDequantizeV4Grad vulnerability with invalid input_min or input_max.

Check that argument is actually a scalar before treating it as such.

PiperOrigin-RevId: 445198280"
Alan Liu,2022-04-28 18:02:25,290bb05c80c327ed74fae1d089f1001b1e2a4ef7,"Fix tf.raw_ops.TensorSummaryV2 vulnerability with invalid serialized_summary_metadata.

Check that input is actually a scalar before treating it as such.

PiperOrigin-RevId: 445197183"
Antonio Sanchez,2022-04-28 03:50:13,237822b59fc504dda2c564787f5d3ad9c4aa62d9,"Fix tf.compat.v1.placeholder_with_default vulnerability with quantized types.

When iterating through the tensor to extract shape values, an underlying missing kernel
(`StridedSlice` for quantized types) causes an error, which then results in a `nullptr`
being passed to `ParseDimensionValue()`, causing a segfault.

The `nullptr` check allows the missing kernel error to propagate.
Adding the missing kernel registrations allows the shape values
to be extracted successfully.

PiperOrigin-RevId: 445045957"
Alan Liu,2022-04-27 22:53:46,3796cc4fcd93ae55812a457abc96dcd55fbb854b,"Fix tf.raw_ops.DepthwiseConv2dNativeBackpropInput vulnerability with large input sizes.

Use AddDimWithStatus rather than AddDim in order to catch and report integer overflow gracefully.

PiperOrigin-RevId: 444989983"
Yong Tang,2021-09-22 12:06:40,b3738c6c047105dfdedded7843faba3d1ad2ec00,"Update curl to 7.79.1

This PR updates curl from 7.78 to 7.79.1.

The reason of update is to fix the following vulnerabilities in 7.78:
- CVE-2021-22947: STARTTLS protocol injection via MITM
- CVE-2021-22946: Protocol downgrade required TLS bypassed
- CVE-2021-22945: UAF and double-free in MQTT sending

Signed-off-by: Yong Tang <yong.tang.github@outlook.com>"
Mihai Maruseac,2021-05-14 16:38:28,8d29555fe3b6dbae57a204dd2af8a3627a91795f,"Fix typos in security advisories.

PiperOrigin-RevId: 373806234
Change-Id: Ic503f47d8eebe28cfedb078c4beb48c30f6c7de9"
Mihai Maruseac,2021-05-13 21:04:16,3a74f0307236fe206b046689c4d76f57c9b74eee,"Fix broken copybara export.

Publish security advisories that got deleted by accident as well as security advisories for new changes.

PiperOrigin-RevId: 373653751
Change-Id: I4231494bb16c3801b7bd9b58e828b91458495442"
Amit Patankar,2021-04-13 21:18:51,eebb96c2830d48597d055d247c0e9aebaea94cd5,"Fix an invalid address vulnerability in `tf.raw_ops.RaggedBincount`.

PiperOrigin-RevId: 368293153
Change-Id: I4b4e493d3fd05e7dc55a55de3a041a80a4f275c3"
Mihai Maruseac,2020-12-07 19:57:01,8b5b9dc96666a3a5d27fad7179ff215e3b74b67c,"Completely rewrite `GetMatchingPaths`.

The current parallel implementation is too complex (lambda inside lambda, two levels of parallelism) and has a read outside of bounds issue.

The new implementation cleans up artifacts from the previous implementations that were left in the code as it evolves. We add multiple helper functions, and document invariants and preconditions as well as every major step. This way, we fix the security issue and a potential new one which was not caught before

PiperOrigin-RevId: 346146220
Change-Id: Iec0f44673f43349797bf9944dffe9b2f779137d8"
Mihai Maruseac,2020-12-05 01:12:58,84607ed59e67595f916950098ae92ae835fd513a,"Completely rewrite `GetMatchingPaths`.

The current parallel implementation is too complex (lambda inside lambda, two levels of parallelism) and has a read outside of bounds issue.

The new implementation cleans up artifacts from the previous implementations that were left in the code as it evolves. We add multiple helper functions, and document invariants and preconditions as well as every major step. This way, we fix the security issue and a potential new one which was not caught before

PiperOrigin-RevId: 345787373
Change-Id: Idcf3bd7bac7203995662db6765d97ec98b1edd7b"
Mihai Maruseac,2020-09-23 00:41:48,c06650b697de3bf72ba1f3c9e55ef7689e4ec088,"Fix rendering of security advisories.

GitHub does not insert automatic links and smart code snippets in these files, so we have to do it manually.

PiperOrigin-RevId: 333195707
Change-Id: I1e2fed8ff207fbfce6eb8fb2b910d12bcab4100c"
Mihai Maruseac,2020-09-19 02:14:17,22e07fb204386768e5bcbea563641ea11f96ceb8,"Fix multiple vulnerabilities in `tf.experimental.dlpack.to_dlpack`.

We have a use after free caused by memory coruption, a segmentation fault caused by memory corruption, several memory leaks and an undefined behavior when taking the reference of a nullptr.

PiperOrigin-RevId: 332568894
Change-Id: Ife0fc05e103b35325094ae5d822ee5fdea764572"
Mihai Maruseac,2020-09-19 01:15:03,3cbb917b4714766030b28eba9fb41bb97ce9ee02,"Fix multiple vulnerabilities in `tf.raw_ops.*CountSparseOutput`.

Also add tests for these API points, both for the happy paths and for the vulnerable ones.

PiperOrigin-RevId: 332563222
Change-Id: Ib3b52116a83a134c2e742a7c66e5e956db8fba05"
Mihai Maruseac,2020-09-18 23:54:17,33be22c65d86256e6826666662e40dbdfe70ee83,"Prevent format string vulnerability in `tf.strings.as_string`.

The `printf` format specifier only allows `#`, `0`, `-`, `+` and space as flag characters. Others are interpreted as width/precision/length modifier or conversion specifiers. If a character does not fit into any of these sets `printf` just displays it.

Also add a test suite for `tf.strings.as_string`. Also fix the issue where the flag character was used only if width was specified.

PiperOrigin-RevId: 332553548
Change-Id: Ie57cf2a7c14d1a36097642794c14329db669bbba"
Mihai Maruseac,2020-08-19 18:55:26,ecfa7d4398b6eb10dc8e98c26a2cae902dea531c,"[security] Fix typo in versions affected by one TFSA.

No functionality change.

PiperOrigin-RevId: 327477678
Change-Id: I2d423afba5f18ef28b89b75c22db1c75cad580f3"
Yong Tang,2018-07-12 06:08:42,b87e1f58ead4c6bc906b29092fd486e89a578d2e,"Fix invalid link in security advisories page

The link in security advisories page was invalid,
should be `[SECURITY.md](https://...)` instead
of `(https://...)[SECURITY.md]`. This fix correct
the link issue.

Signed-off-by: Yong Tang <yong.tang.github@outlook.com>"
Yong Tang,2018-07-12 03:29:08,954c5a95783740cf4b65f6f806dd1fb2e07d3f62,"Fix incorrect link in security advisory TFSA-2018-001

This fix fixes the issue raised in 20722 where the commit
link in security advisory TFSA-2018-001 was incorrect.

This fix fixes 20722.

Signed-off-by: Yong Tang <yong.tang.github@outlook.com>"
Yong Tang,2018-06-22 05:05:47,d932155363d6ded97dda38ce799168d27566978b,"Update jsoncpp to 1.8.4 (#20182)

* Update jsoncpp to 1.8.4

This fix updates the jsoncpp to 1.8.4 to address the issue
raised in 20170. The jsoncpp used in tf was old and may contain
security issues.

This fix fixes 20170.

Signed-off-by: Yong Tang <yong.tang.github@outlook.com>

* Add JSON_HAS_INT64 define to jsoncpp build

Signed-off-by: Yong Tang <yong.tang.github@outlook.com>

* Fix data type conversion issue for jsoncpp.

Signed-off-by: Yong Tang <yong.tang.github@outlook.com>

* Fix build by include ""version.h""

Signed-off-by: Yong Tang <yong.tang.github@outlook.com>"
Frank Chen,2018-06-06 18:56:49,20d3228e4efbf55441bf179e668ed52e900dd347,"Fix URLs in security/index.md and point SECURITY.md's vuln list to security/index.md

PiperOrigin-RevId: 199503532"
Frank Chen,2018-05-31 19:38:35,ff28cfe18d69657cafcddadff6a36eb040c0cd7d,"Fix links in the TensorFlow Security Advisories

PiperOrigin-RevId: 198762795"
Michael Case,2018-03-27 06:34:05,1c38584cb9793642928bf888be1a98698d3b8c44,"Fix acknowledgment to say ""Blade Team of Tencent"" in security.md file.

Team is incorrectly referred to as ""TenCent Blade Team""

PiperOrigin-RevId: 190577449"
Yong Tang,2018-03-09 08:21:26,60a21e25b0261369a15ca1d17505d7c3c82be967,"Fix broken link pointing to vulnerability reporting/SECURITY.md (#17453)

The vulnerability reporting (SECURITY.md) has been moved to top level
directory, this fix fixes the broken link inside tensorflow/docs_src/community/welcome.md

Signed-off-by: Yong Tang <yong.tang.github@outlook.com>"
Martin Wicke,2018-02-21 20:17:22,afae8a8f98b72dd476e7947cda5351fb34bc684f,"Merge pull request #17173 from tensorflow/MarkDaoust-patch-1

Fix table format in SECURITY.md"
Mark Daoust,2018-02-21 18:20:33,8f4e42589a55c6297f704b123458472220f4615f,Fix table format in SECURITY.md
Yong Tang,2018-02-05 21:43:21,1f915bf88b282aae50da6fe3b4204df5509d0542,"Fix the incorrect link to vulnerability reporting (#16778)

This fix fixes the incorrect link to vulnerability reporting.

Signed-off-by: Yong Tang <yong.tang.github@outlook.com>"
Yong Tang,2018-01-11 14:46:35,049d8df140035da864194333f444f97f24c6ffb3,"Use https for `https://github.com/tensorflow/serving` (#16030)

* Use https for `https://github.com/tensorflow/serving`

It looks like there are a couple of links in saved_model.md
using http to point to serving, and the rest are using https
to point to serving, This fix updates to `https` for consistency
and security.

Signed-off-by: Yong Tang <yong.tang.github@outlook.com>"
Yong Tang,2018-01-05 23:18:38,26d47657064105b1a05a3f3e8c803819efcd159d,"Use https for `www.tensorflow.org` (#15895)

* Use https for `www.tensorflow.org`

This fix uses `https://www.tensorflow.org` for `www.tensorflow.org`,
for the purpose of increased security and consistency with
the rest of the documentations.

Signed-off-by: Yong Tang <yong.tang.github@outlook.com>"
